FID,objectid,id,lenght,nombre,linea,layer,shape_leng,Shape__Length,GlobalID
1,1,1,9913.341,LINEA DE METRO ACTUAL,LINEA 1,LINEA DE METRO ACTUAL,9913.2759182,11882.4613646938,a209f9c0-1b70-4bf0-bb9d-b80b572c67a5
2,2,2,5456.886,LINEA DE METRO ACTUAL,LINEA 1,LINEA DE METRO ACTUAL,5456.8502265,6540.00472584377,acf6b60f-1e6a-4cde-93d5-30be17efa5dd
3,3,5,1349.751,LINEA DE METRO ACTUAL,LINEA 2,LINEA DE METRO ACTUAL,6712.23473999,8065.08067542399,be6fbb14-6258-49ef-8a5f-beac857723ea
4,4,6,10177.762,LINEA DE METRO ACTUAL,LINEA 2,LINEA DE METRO ACTUAL,12773.5979327,15367.3124862043,bcebec8d-b270-4ea8-9992-5ee74ce17d1b
5,5,7,9882.089,LINEA DE METRO ACTUAL,LINEA 4,LINEA DE METRO ACTUAL,9885.54687924,11905.7964233617,aa997047-1ad1-4ab7-8108-04858a193517
6,6,8,1905.774,LINEA DE METRO ACTUAL,LINEA 5,LINEA DE METRO ACTUAL,1905.76180656,19227.4395227555,f616feef-3d0d-44e1-9d41-d4944b13f3af
7,7,9,12752.06,LINEA DE METRO ACTUAL,LINEA 5,LINEA DE METRO ACTUAL,12752.4073561,15324.2324828784,c63eddaf-9f3a-431c-bf23-986be40cf7b2
8,8,3,20677.039,LINEA DE METRO ACTUAL,LINEA 4,LINEA DE METRO ACTUAL,13369.7100354,16070.9775961864,476b5a8e-a6ec-4bff-af5b-6f0d7aa48974
9,9,3,20677.039,LINEA DE METRO ACTUAL,LINEA 4A,LINEA DE METRO ACTUAL,7307.19201526,8769.04357501275,9b4ac88f-7b6b-4118-8c60-601eb3bdd113
10,10,,0,LINEA DE METRO ACTUAL,LINEA 1,LINEA DE METRO ACTUAL,3791.19334856,4565.74831428271,b336b980-fb80-46c8-854f-5835a8e07ea0
11,0,,0,LINEA DE METRO PROYECTADA,LINEA 6,LINEA DE METRO PROYECTADA,0,16742.4359310365,882adbcf-0b5c-4747-a608-a8592e78238b
12,0,,0,LINEA DE METRO PROYECTADA,LINEA 3,LINEA DE METRO PROYECTADA,0,24222.5697364335,58e3e888-c17d-4ad0-8c04-e163f7756d48
